START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/23/18,12:05 PM,01:05 PM,Nationals at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: ATT SportsNet-SW- MLBN ----- Local Radio: KBME 790",02/23/18,02/23/18,03:05 PM,04:05 PM,FALSE,TRUE,02/23/18,11:05 AM,12:05 PM,FREE,BUSY
02/24/18,12:05 PM,01:05 PM,Braves at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: ATT SportsNet-SW ----- Local Radio: KBME 790",02/24/18,02/24/18,03:05 PM,04:05 PM,FALSE,TRUE,02/24/18,11:05 AM,12:05 PM,FREE,BUSY
02/25/18,12:05 PM,01:05 PM,Astros at Cardinals,Roger Dean Chevrolet Stadium - Jupiter,"Local Radio: KBME 790",02/25/18,02/25/18,03:05 PM,04:05 PM,FALSE,TRUE,02/25/18,11:05 AM,12:05 PM,FREE,BUSY
02/26/18,12:05 PM,01:05 PM,Astros at Marlins,Roger Dean Chevrolet Stadium - Jupiter,"",02/26/18,02/26/18,03:05 PM,04:05 PM,FALSE,TRUE,02/26/18,11:05 AM,12:05 PM,FREE,BUSY
02/26/18,12:05 PM,01:05 PM,Mets at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: ATT SportsNet-SW- MLBN ----- Local Radio: KBME 790 (delay)",02/26/18,02/26/18,03:05 PM,04:05 PM,FALSE,TRUE,02/26/18,11:05 AM,12:05 PM,FREE,BUSY
02/27/18,12:10 PM,01:10 PM,Astros at Mets,First Data Field - Port St. Lucie,"Local Radio: KBME 790 (delay)",02/27/18,02/27/18,03:10 PM,04:10 PM,FALSE,TRUE,02/27/18,11:10 AM,12:10 PM,FREE,BUSY
02/28/18,12:05 PM,01:05 PM,Twins at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: ATT SportsNet-SW ----- Local Radio: KBME 790 (delay)",02/28/18,02/28/18,03:05 PM,04:05 PM,FALSE,TRUE,02/28/18,11:05 AM,12:05 PM,FREE,BUSY
03/01/18,12:05 PM,01:05 PM,Red Sox at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: ATT SportsNet-SW ----- Local Radio: KBME 790 (delay)",03/01/18,03/01/18,03:05 PM,04:05 PM,FALSE,TRUE,03/01/18,11:05 AM,12:05 PM,FREE,BUSY
03/02/18,05:05 PM,06:05 PM,Mets at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: ATT SportsNet-SW ----- Local Radio: KBME 790",03/02/18,03/02/18,08:05 PM,09:05 PM,FALSE,TRUE,03/02/18,04:05 PM,05:05 PM,FREE,BUSY
03/03/18,12:05 PM,01:05 PM,Nationals at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: ATT SportsNet-SW ----- Local Radio: KBME 790",03/03/18,03/03/18,03:05 PM,04:05 PM,FALSE,TRUE,03/03/18,11:05 AM,12:05 PM,FREE,BUSY
03/04/18,12:05 PM,01:05 PM,Astros at Cardinals,Roger Dean Chevrolet Stadium - Jupiter,"Local TV: MLBN ----- Local Radio: KBME 790",03/04/18,03/04/18,03:05 PM,04:05 PM,FALSE,TRUE,03/04/18,11:05 AM,12:05 PM,FREE,BUSY
03/05/18,12:05 PM,01:05 PM,Marlins at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: ATT SportsNet-SW ----- Local Radio: KBME 790 (delay)",03/05/18,03/05/18,03:05 PM,04:05 PM,FALSE,TRUE,03/05/18,11:05 AM,12:05 PM,FREE,BUSY
03/06/18,12:05 PM,01:05 PM,Astros at Nationals,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local Radio: KBME 790 (delay)",03/06/18,03/06/18,03:05 PM,04:05 PM,FALSE,TRUE,03/06/18,11:05 AM,12:05 PM,FREE,BUSY
03/06/18,12:10 PM,01:10 PM,Astros at Mets,First Data Field - Port St. Lucie,"Local TV: MLBN",03/06/18,03/06/18,03:10 PM,04:10 PM,FALSE,TRUE,03/06/18,11:10 AM,12:10 PM,FREE,BUSY
03/07/18,12:05 PM,01:05 PM,Marlins at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local Radio: KBME 790 (delay)",03/07/18,03/07/18,03:05 PM,04:05 PM,FALSE,TRUE,03/07/18,11:05 AM,12:05 PM,FREE,BUSY
03/08/18,12:05 PM,01:05 PM,Astros at Braves,Champion Stadium - Lake Buena Vista,"Local Radio: KBME 790 (delay)",03/08/18,03/08/18,03:05 PM,04:05 PM,FALSE,TRUE,03/08/18,11:05 AM,12:05 PM,FREE,BUSY
03/09/18,05:05 PM,06:05 PM,Cardinals at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local Radio: KBME 790 (delay)",03/09/18,03/09/18,08:05 PM,09:05 PM,FALSE,TRUE,03/09/18,04:05 PM,05:05 PM,FREE,BUSY
03/10/18,12:05 PM,01:05 PM,Nationals at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local Radio: KBME 790",03/10/18,03/10/18,03:05 PM,04:05 PM,FALSE,TRUE,03/10/18,11:05 AM,12:05 PM,FREE,BUSY
03/11/18,12:10 PM,01:10 PM,Astros at Mets,First Data Field - Port St. Lucie,"Local Radio: KBME 790",03/11/18,03/11/18,03:10 PM,04:10 PM,FALSE,TRUE,03/11/18,11:10 AM,12:10 PM,FREE,BUSY
03/13/18,12:10 PM,01:10 PM,Astros at Mets,First Data Field - Port St. Lucie,"Local Radio: KBME 790 (delay)",03/13/18,03/13/18,03:10 PM,04:10 PM,FALSE,TRUE,03/13/18,11:10 AM,12:10 PM,FREE,BUSY
