START DATE,,,,,,START TIME,START TIME ET,SUBJECT,,,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
3,,29,18,2018-03-29,2018-03-29,1:05 PM,4:05 PM,Angels,at,Athletics,03/29/18,4:05 PM,7:05 PM,FALSE,TRUE,03/29/18,12:05 PM,3:05 PM,FREE,BUSY
3,,30,18,2018-03-30,2018-03-30,7:05 PM,10:05 PM,Angels,at,Athletics,03/31/18,10:05 PM,1:05 AM,FALSE,TRUE,03/30/18,6:05 PM,9:05 PM,FREE,BUSY
3,,31,18,2018-03-31,2018-03-31,1:05 PM,4:05 PM,Angels,at,Athletics,03/31/18,4:05 PM,7:05 PM,FALSE,TRUE,03/31/18,12:05 PM,3:05 PM,FREE,BUSY
38004,2004,1,18,2018-04-01,2018-04-01,1:05 PM,4:05 PM,Angels,at,Athletics,2004-01-18,4:05 PM,7:05 PM,FALSE,TRUE,2004-01-18,12:05 PM,3:05 PM,FREE,BUSY
38035,2004,2,18,2018-04-02,2018-04-02,7:05 PM,10:05 PM,Rangers,at,Athletics,2004-03-18,10:05 PM,1:05 AM,FALSE,TRUE,2004-02-18,6:05 PM,9:05 PM,FREE,BUSY
38064,2004,3,18,2018-04-03,2018-04-03,7:05 PM,10:05 PM,Rangers,at,Athletics,2004-04-18,10:05 PM,1:05 AM,FALSE,TRUE,2004-03-18,6:05 PM,9:05 PM,FREE,BUSY
38095,2004,4,18,2018-04-04,2018-04-04,7:05 PM,10:05 PM,Rangers,at,Athletics,2004-05-18,10:05 PM,1:05 AM,FALSE,TRUE,2004-04-18,6:05 PM,9:05 PM,FREE,BUSY
38125,2004,5,18,2018-04-05,2018-04-05,12:35 PM,3:35 PM,Rangers,at,Athletics,2004-05-18,3:35 PM,6:35 PM,FALSE,TRUE,2004-05-18,11:35 AM,2:35 PM,FREE,BUSY
38156,2004,6,18,2018-04-06,2018-04-06,7:07 PM,10:07 PM,Athletics,at,Angels,2004-07-18,10:07 PM,1:07 AM,FALSE,TRUE,2004-06-18,6:07 PM,9:07 PM,FREE,BUSY
38186,2004,7,18,2018-04-07,2018-04-07,6:07 PM,9:07 PM,Athletics,at,Angels,2004-08-18,9:07 PM,12:07 AM,FALSE,TRUE,2004-07-18,5:07 PM,8:07 PM,FREE,BUSY
38217,2004,8,18,2018-04-08,2018-04-08,1:07 PM,4:07 PM,Athletics,at,Angels,2004-08-18,4:07 PM,7:07 PM,FALSE,TRUE,2004-08-18,12:07 PM,3:07 PM,FREE,BUSY
38278,2004,10,18,2018-04-10,2018-04-10,7:10 PM,10:10 PM,Athletics,at,Dodgers,2004-11-18,10:10 PM,1:10 AM,FALSE,TRUE,2004-10-18,6:10 PM,9:10 PM,FREE,BUSY
38309,2004,11,18,2018-04-11,2018-04-11,7:10 PM,10:10 PM,Athletics,at,Dodgers,2004-12-18,10:10 PM,1:10 AM,FALSE,TRUE,2004-11-18,6:10 PM,9:10 PM,FREE,BUSY
4,,13,18,2018-04-13,2018-04-13,7:10 PM,10:10 PM,Athletics,at,Mariners,04/14/18,10:10 PM,1:10 AM,FALSE,TRUE,04/13/18,6:10 PM,9:10 PM,FREE,BUSY
4,,14,18,2018-04-14,2018-04-14,6:10 PM,9:10 PM,Athletics,at,Mariners,04/15/18,9:10 PM,12:10 AM,FALSE,TRUE,04/14/18,5:10 PM,8:10 PM,FREE,BUSY
4,,15,18,2018-04-15,2018-04-15,1:10 PM,4:10 PM,Athletics,at,Mariners,04/15/18,4:10 PM,7:10 PM,FALSE,TRUE,04/15/18,12:10 PM,3:10 PM,FREE,BUSY
4,,16,18,2018-04-16,2018-04-16,7:05 PM,10:05 PM,White Sox,at,Athletics,04/17/18,10:05 PM,1:05 AM,FALSE,TRUE,04/16/18,6:05 PM,9:05 PM,FREE,BUSY
4,,17,18,2018-04-17,2018-04-17,7:05 PM,10:05 PM,White Sox,at,Athletics,04/18/18,10:05 PM,1:05 AM,FALSE,TRUE,04/17/18,6:05 PM,9:05 PM,FREE,BUSY
4,,18,18,2018-04-18,2018-04-18,12:35 PM,3:35 PM,White Sox,at,Athletics,04/18/18,3:35 PM,6:35 PM,FALSE,TRUE,04/18/18,11:35 AM,2:35 PM,FREE,BUSY
4,,20,18,2018-04-20,2018-04-20,7:05 PM,10:05 PM,Red Sox,at,Athletics,04/21/18,10:05 PM,1:05 AM,FALSE,TRUE,04/20/18,6:05 PM,9:05 PM,FREE,BUSY
4,,21,18,2018-04-21,2018-04-21,6:05 PM,9:05 PM,Red Sox,at,Athletics,04/22/18,9:05 PM,12:05 AM,FALSE,TRUE,04/21/18,5:05 PM,8:05 PM,FREE,BUSY
4,,22,18,2018-04-22,2018-04-22,1:05 PM,4:05 PM,Red Sox,at,Athletics,04/22/18,4:05 PM,7:05 PM,FALSE,TRUE,04/22/18,12:05 PM,3:05 PM,FREE,BUSY
4,,23,18,2018-04-23,2018-04-23,5:05 PM,8:05 PM,Athletics,at,Rangers,04/23/18,8:05 PM,11:05 PM,FALSE,TRUE,04/23/18,4:05 PM,7:05 PM,FREE,BUSY
4,,24,18,2018-04-24,2018-04-24,5:05 PM,8:05 PM,Athletics,at,Rangers,04/24/18,8:05 PM,11:05 PM,FALSE,TRUE,04/24/18,4:05 PM,7:05 PM,FREE,BUSY
4,,25,18,2018-04-25,2018-04-25,5:05 PM,8:05 PM,Athletics,at,Rangers,04/25/18,8:05 PM,11:05 PM,FALSE,TRUE,04/25/18,4:05 PM,7:05 PM,FREE,BUSY
4,,27,18,2018-04-27,2018-04-27,5:10 PM,8:10 PM,Athletics,at,Astros,04/27/18,8:10 PM,11:10 PM,FALSE,TRUE,04/27/18,4:10 PM,7:10 PM,FREE,BUSY
