game_id,game_no,game_date,start_time,field,field_city,home_team,home_sp,home_ml,home_rl,home_score,away_team,away_sp,away_ml,away_rl,away_score,total,over_odds,under_odds
,,2018-03-29,11:40 AM,Marlins Park , Miami,Marlins,,,,,Cubs,,,,,,,
,,2018-03-29,12:10 PM,Citi Field , Flushing,Mets,,,,,Cardinals,,,,,,,
,,2018-03-29,1:05 PM,Oakland Coliseum , Oakland,Athletics,,,,,Angels,,,,,,,
,,2018-03-29,1:10 PM,Petco Park , San Diego,Padres,,,,,Brewers,,,,,,,
,,2018-03-29,2:05 PM,Oriole Park at Camden Yards , Baltimore,Orioles,,,,,Twins,,,,,,,
,,2018-03-29,2:35 PM,Globe Life Park in Arlington , Arlington,Rangers,,,,,Astros,,,,,,,
,,2018-03-29,3:15 PM,Kauffman Stadium , Kansas City,Royals,,,,,White Sox,,,,,,,
,,2018-03-29,3:37 PM,Rogers Centre , Toronto,Blue Jays,,,,,Yankees,,,,,,,
,,2018-03-29,4:00 PM,Tropicana Field , St. Petersburg,Rays,,,,,Red Sox,,,,,,,
,,2018-03-29,4:08 PM,Dodger Stadium , Los Angeles,Dodgers,,,,,Giants,,,,,,,
,,2018-03-29,4:10 PM,SunTrust Park , Atlanta,Braves,,,,,Phillies,,,,,,,
,,2018-03-29,7:10 PM,Chase Field , Phoenix,D-backs,,,,,Rockies,,,,,,,
,,2018-03-29,10:10 PM,Safeco Field , Seattle,Mariners,,,,,Indians,,,,,,,
,,2018-03-30,1:10 PM,Comerica Park , Detroit,Tigers,,,,,Pirates,,,,,,,
,,2018-03-30,4:10 PM,Great American Ball Park , Cincinnati,Reds,,,,,Nationals,,,,,,,
,,2018-03-30,7:05 PM,Globe Life Park in Arlington , Arlington,Rangers,,,,,Astros,,,,,,,
,,2018-03-30,7:10 PM,Dodger Stadium , Los Angeles,Dodgers,,,,,Giants,,,,,,,
,,2018-03-30,7:10 PM,Marlins Park , Miami,Marlins,,,,,Cubs,,,,,,,
,,2018-03-30,7:10 PM,Tropicana Field , St. Petersburg,Rays,,,,,Red Sox,,,,,,,
,,2018-03-30,7:35 PM,SunTrust Park , Atlanta,Braves,,,,,Phillies,,,,,,,
,,2018-03-30,7:40 PM,Chase Field , Phoenix,D-backs,,,,,Rockies,,,,,,,
,,2018-03-30,9:10 PM,Petco Park , San Diego,Padres,,,,,Brewers,,,,,,,
,,2018-03-30,10:05 PM,Oakland Coliseum , Oakland,Athletics,,,,,Angels,,,,,,,
,,2018-03-31,12:10 PM,Citi Field , Flushing,Mets,,,,,Cardinals,,,,,,,
,,2018-03-31,1:05 PM,Oakland Coliseum , Oakland,Athletics,,,,,Angels,,,,,,,
,,2018-03-31,2:10 PM,Great American Ball Park , Cincinnati,Reds,,,,,Nationals,,,,,,,
,,2018-03-31,3:05 PM,Globe Life Park in Arlington , Arlington,Rangers,,,,,Astros,,,,,,,
,,2018-03-31,4:07 PM,Rogers Centre , Toronto,Blue Jays,,,,,Yankees,,,,,,,
,,2018-03-31,4:10 PM,Safeco Field , Seattle,Mariners,,,,,Indians,,,,,,,
,,2018-03-31,5:10 PM,Chase Field , Phoenix,D-backs,,,,,Rockies,,,,,,,
,,2018-03-31,5:40 PM,Petco Park , San Diego,Padres,,,,,Brewers,,,,,,,
,,2018-03-31,6:05 PM,Oriole Park at Camden Yards , Baltimore,Orioles,,,,,Twins,,,,,,,
,,2018-03-31,6:10 PM,Dodger Stadium , Los Angeles,Dodgers,,,,,Giants,,,,,,,
,,2018-03-31,6:10 PM,Marlins Park , Miami,Marlins,,,,,Cubs,,,,,,,
,,2018-03-31,6:10 PM,Tropicana Field , St. Petersburg,Rays,,,,,Red Sox,,,,,,,
,,2018-03-31,6:15 PM,Kauffman Stadium , Kansas City,Royals,,,,,White Sox,,,,,,,
,,2018-03-31,7:10 PM,SunTrust Park , Atlanta,Braves,,,,,Phillies,,,,,,,
,,2018-04-01,1:05 PM,Oriole Park at Camden Yards , Baltimore,Orioles,,,,,Twins,,,,,,,
,,2018-04-01,1:10 PM,Citi Field , Flushing,Mets,,,,,Cardinals,,,,,,,
,,2018-04-01,1:10 PM,Comerica Park , Detroit,Tigers,,,,,Pirates,,,,,,,
,,2018-04-01,1:10 PM,Marlins Park , Miami,Marlins,,,,,Cubs,,,,,,,
,,2018-04-01,1:10 PM,Safeco Field , Seattle,Mariners,,,,,Indians,,,,,,,
,,2018-04-01,1:10 PM,Tropicana Field , St. Petersburg,Rays,,,,,Red Sox,,,,,,,
,,2018-04-01,2:05 PM,Globe Life Park in Arlington , Arlington,Rangers,,,,,Astros,,,,,,,
,,2018-04-01,4:05 PM,Oakland Coliseum , Oakland,Athletics,,,,,Angels,,,,,,,
,,2018-04-01,4:10 PM,Great American Ball Park , Cincinnati,Reds,,,,,Nationals,,,,,,,
,,2018-04-01,5:37 PM,Dodger Stadium , Los Angeles,Dodgers,,,,,Giants,,,,,,,
,,2018-04-01,6:10 PM,Comerica Park , Detroit,Tigers,,,,,Pirates,,,,,,,
,,2018-04-02,12:05 PM,PNC Park , Pittsburgh,Pirates,,,,,Twins,,,,,,,
,,2018-04-02,12:10 PM,Comerica Park , Detroit,Tigers,,,,,Royals,,,,,,,
,,2018-04-02,1:10 PM,Miller Park , Milwaukee,Brewers,,,,,Cardinals,,,,,,,
,,2018-04-02,3:10 PM,Great American Ball Park , Cincinnati,Reds,,,,,Cubs,,,,,,,
,,2018-04-02,6:07 PM,Rogers Centre , Toronto,Blue Jays,,,,,White Sox,,,,,,,
,,2018-04-02,6:10 PM,Minute Maid Park , Houston,Astros,,,,,Orioles,,,,,,,
,,2018-04-02,6:40 PM,Chase Field , Phoenix,D-backs,,,,,Dodgers,,,,,,,
,,2018-04-02,7:07 PM,Angel Stadium of Anaheim , Anaheim,Angels,,,,,Indians,,,,,,,
,,2018-04-02,7:10 PM,Marlins Park , Miami,Marlins,,,,,Red Sox,,,,,,,
,,2018-04-02,7:10 PM,Petco Park , San Diego,Padres,,,,,Rockies,,,,,,,
,,2018-04-02,7:35 PM,SunTrust Park , Atlanta,Braves,,,,,Nationals,,,,,,,
,,2018-04-02,9:05 PM,Oakland Coliseum , Oakland,Athletics,,,,,Rangers,,,,,,,
,,2018-04-03,12:10 PM,Comerica Park , Detroit,Tigers,,,,,Royals,,,,,,,
,,2018-04-03,1:35 PM,AT&T Park , San Francisco,Giants,,,,,Mariners,,,,,,,
,,2018-04-03,4:05 PM,Yankee Stadium , Bronx,Yankees,,,,,Rays,,,,,,,
,,2018-04-03,6:07 PM,Rogers Centre , Toronto,Blue Jays,,,,,White Sox,,,,,,,
,,2018-04-03,6:10 PM,Marlins Park , Miami,Marlins,,,,,Red Sox,,,,,,,
,,2018-04-03,6:40 PM,Chase Field , Phoenix,D-backs,,,,,Dodgers,,,,,,,
,,2018-04-03,6:40 PM,Miller Park , Milwaukee,Brewers,,,,,Cardinals,,,,,,,
,,2018-04-03,7:07 PM,Angel Stadium of Anaheim , Anaheim,Angels,,,,,Indians,,,,,,,
,,2018-04-03,7:10 PM,Citi Field , Flushing,Mets,,,,,Phillies,,,,,,,
,,2018-04-03,7:10 PM,Minute Maid Park , Houston,Astros,,,,,Orioles,,,,,,,
,,2018-04-03,7:10 PM,Petco Park , San Diego,Padres,,,,,Rockies,,,,,,,
,,2018-04-03,7:35 PM,SunTrust Park , Atlanta,Braves,,,,,Nationals,,,,,,,
,,2018-04-03,9:05 PM,Oakland Coliseum , Oakland,Athletics,,,,,Rangers,,,,,,,
