START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/22/18,01:05 PM,01:05 PM,Spartans at Phillies,Spectrum Field - Clearwater,"",02/22/18,02/22/18,04:05 PM,04:05 PM,FALSE,TRUE,02/22/18,12:05 PM,12:05 PM,FREE,BUSY
02/23/18,01:07 PM,01:07 PM,Phillies at Blue Jays,Dunedin Stadium - Dunedin,"Local Radio: 94 WIP",02/23/18,02/23/18,04:07 PM,04:07 PM,FALSE,TRUE,02/23/18,12:07 PM,12:07 PM,FREE,BUSY
02/24/18,01:05 PM,01:05 PM,Orioles at Phillies,Spectrum Field - Clearwater,"Local TV: NBCSP ----- Local Radio: 94 WIP",02/24/18,02/24/18,04:05 PM,04:05 PM,FALSE,TRUE,02/24/18,12:05 PM,12:05 PM,FREE,BUSY
02/25/18,01:05 PM,01:05 PM,Yankees at Phillies,Spectrum Field - Clearwater,"Local TV: NBCSP- MLBN ----- Local Radio: 94 WIP",02/25/18,02/25/18,04:05 PM,04:05 PM,FALSE,TRUE,02/25/18,12:05 PM,12:05 PM,FREE,BUSY
02/26/18,06:35 PM,06:35 PM,Phillies at Yankees,George M. Steinbrenner Field - Tampa,"Local Radio: 94 WIP",02/26/18,02/26/18,09:35 PM,09:35 PM,FALSE,TRUE,02/26/18,05:35 PM,05:35 PM,FREE,BUSY
02/27/18,01:05 PM,01:05 PM,Tigers at Phillies,Spectrum Field - Clearwater,"Local TV: NBCSP+- MLBN",02/27/18,02/27/18,04:05 PM,04:05 PM,FALSE,TRUE,02/27/18,12:05 PM,12:05 PM,FREE,BUSY
02/28/18,01:07 PM,01:07 PM,Phillies at Blue Jays,Dunedin Stadium - Dunedin,"Local Radio: MLB.com",02/28/18,02/28/18,04:07 PM,04:07 PM,FALSE,TRUE,02/28/18,12:07 PM,12:07 PM,FREE,BUSY
03/01/18,01:05 PM,01:05 PM,Yankees at Phillies,Spectrum Field - Clearwater,"Local TV: NBCSP+- MLBN",03/01/18,03/01/18,04:05 PM,04:05 PM,FALSE,TRUE,03/01/18,12:05 PM,12:05 PM,FREE,BUSY
03/02/18,01:05 PM,01:05 PM,Phillies at Rays,Charlotte Sports Park - Port Charlotte,"Local Radio: MLB.com",03/02/18,03/02/18,04:05 PM,04:05 PM,FALSE,TRUE,03/02/18,12:05 PM,12:05 PM,FREE,BUSY
03/03/18,01:05 PM,01:05 PM,Orioles at Phillies,Spectrum Field - Clearwater,"Local TV: NBCSP+ ----- Local Radio: 94 WIP",03/03/18,03/03/18,04:05 PM,04:05 PM,FALSE,TRUE,03/03/18,12:05 PM,12:05 PM,FREE,BUSY
03/03/18,01:05 PM,01:05 PM,Phillies at Pirates,LECOM Park - Bradenton,"",03/03/18,03/03/18,04:05 PM,04:05 PM,FALSE,TRUE,03/03/18,12:05 PM,12:05 PM,FREE,BUSY
03/04/18,01:05 PM,01:05 PM,Blue Jays at Phillies,Spectrum Field - Clearwater,"Local TV: NBCSP+ ----- Local Radio: 94 WIP",03/04/18,03/04/18,04:05 PM,04:05 PM,FALSE,TRUE,03/04/18,12:05 PM,12:05 PM,FREE,BUSY
03/05/18,01:05 PM,01:05 PM,Twins at Phillies,Spectrum Field - Clearwater,"Local TV: NBCSP+- MLBN",03/05/18,03/05/18,04:05 PM,04:05 PM,FALSE,TRUE,03/05/18,12:05 PM,12:05 PM,FREE,BUSY
03/07/18,01:05 PM,01:05 PM,Red Sox at Phillies,Spectrum Field - Clearwater,"Local TV: NBCSP+- MLBN",03/07/18,03/07/18,04:05 PM,04:05 PM,FALSE,TRUE,03/07/18,12:05 PM,12:05 PM,FREE,BUSY
03/08/18,01:05 PM,01:05 PM,Phillies at Yankees,George M. Steinbrenner Field - Tampa,"",03/08/18,03/08/18,04:05 PM,04:05 PM,FALSE,TRUE,03/08/18,12:05 PM,12:05 PM,FREE,BUSY
