START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/23/18,01:05 PM,01:05 PM,Rays at Orioles,Ed Smith Stadium - Sarasota,"",02/23/18,02/23/18,04:05 PM,04:05 PM,FALSE,TRUE,02/23/18,12:05 PM,12:05 PM,FREE,BUSY
02/23/18,01:05 PM,01:05 PM,Pirates at Rays,Charlotte Sports Park - Port Charlotte,"Local Radio: MLB.com",02/23/18,02/23/18,04:05 PM,04:05 PM,FALSE,TRUE,02/23/18,12:05 PM,12:05 PM,FREE,BUSY
02/24/18,01:05 PM,01:05 PM,Rays at Red Sox,JetBlue Park - Ft. Myers,"Local TV: MLBN ----- Local Radio: WDAE 620 AM /95.3 FM- Rays Radio Network",02/24/18,02/24/18,04:05 PM,04:05 PM,FALSE,TRUE,02/24/18,12:05 PM,12:05 PM,FREE,BUSY
02/25/18,01:05 PM,01:05 PM,Rays at Twins,CenturyLink Sports Complex - Fort Myers,"Local TV: Fox Sports Sun ----- Local Radio: WDAE 620 AM /95.3 FM- Rays Radio Network",02/25/18,02/25/18,04:05 PM,04:05 PM,FALSE,TRUE,02/25/18,12:05 PM,12:05 PM,FREE,BUSY
02/26/18,01:05 PM,01:05 PM,Blue Jays at Rays,Charlotte Sports Park - Port Charlotte,"Local Radio: MLB.com",02/26/18,02/26/18,04:05 PM,04:05 PM,FALSE,TRUE,02/26/18,12:05 PM,12:05 PM,FREE,BUSY
02/27/18,01:05 PM,01:05 PM,Orioles at Rays,Charlotte Sports Park - Port Charlotte,"Local Radio: MLB.com",02/27/18,02/27/18,04:05 PM,04:05 PM,FALSE,TRUE,02/27/18,12:05 PM,12:05 PM,FREE,BUSY
02/28/18,01:05 PM,01:05 PM,Rays at Twins,CenturyLink Sports Complex - Fort Myers,"",02/28/18,02/28/18,04:05 PM,04:05 PM,FALSE,TRUE,02/28/18,12:05 PM,12:05 PM,FREE,BUSY
03/01/18,01:05 PM,01:05 PM,Orioles at Rays,Charlotte Sports Park - Port Charlotte,"Local Radio: MLB.com",03/01/18,03/01/18,04:05 PM,04:05 PM,FALSE,TRUE,03/01/18,12:05 PM,12:05 PM,FREE,BUSY
03/02/18,01:05 PM,01:05 PM,Phillies at Rays,Charlotte Sports Park - Port Charlotte,"Local Radio: MLB.com",03/02/18,03/02/18,04:05 PM,04:05 PM,FALSE,TRUE,03/02/18,12:05 PM,12:05 PM,FREE,BUSY
03/03/18,01:05 PM,01:05 PM,Rays at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"Local Radio: WDAE 620 AM /95.3 FM- Rays Radio Network",03/03/18,03/03/18,04:05 PM,04:05 PM,FALSE,TRUE,03/03/18,12:05 PM,12:05 PM,FREE,BUSY
03/04/18,01:05 PM,01:05 PM,Rays at Yankees,George M. Steinbrenner Field - Tampa,"Local TV: Fox Sports Sun ----- Local Radio: WDAE 620 AM /95.3 FM- Rays Radio Network",03/04/18,03/04/18,04:05 PM,04:05 PM,FALSE,TRUE,03/04/18,12:05 PM,12:05 PM,FREE,BUSY
03/06/18,01:05 PM,01:05 PM,Red Sox at Rays,Charlotte Sports Park - Port Charlotte,"Local Radio: MLB.com",03/06/18,03/06/18,04:05 PM,04:05 PM,FALSE,TRUE,03/06/18,12:05 PM,12:05 PM,FREE,BUSY
03/07/18,01:05 PM,01:05 PM,Orioles at Rays,Charlotte Sports Park - Port Charlotte,"Local Radio: MLB.com",03/07/18,03/07/18,04:05 PM,04:05 PM,FALSE,TRUE,03/07/18,12:05 PM,12:05 PM,FREE,BUSY
03/08/18,01:05 PM,01:05 PM,Rays at Red Sox,JetBlue Park - Ft. Myers,"",03/08/18,03/08/18,04:05 PM,04:05 PM,FALSE,TRUE,03/08/18,12:05 PM,12:05 PM,FREE,BUSY
03/09/18,01:05 PM,01:05 PM,Twins at Rays,Charlotte Sports Park - Port Charlotte,"Local Radio: MLB.com",03/09/18,03/09/18,04:05 PM,04:05 PM,FALSE,TRUE,03/09/18,12:05 PM,12:05 PM,FREE,BUSY
03/10/18,01:05 PM,01:05 PM,Rays at Phillies,Spectrum Field - Clearwater,"Local Radio: WDAE 620 AM /95.3 FM- Rays Radio Network",03/10/18,03/10/18,04:05 PM,04:05 PM,FALSE,TRUE,03/10/18,12:05 PM,12:05 PM,FREE,BUSY
03/11/18,01:05 PM,01:05 PM,Twins at Rays,Charlotte Sports Park - Port Charlotte,"Local TV: Fox Sports Sun ----- Local Radio: WDAE 620 AM /95.3 FM- Rays Radio Network",03/11/18,03/11/18,04:05 PM,04:05 PM,FALSE,TRUE,03/11/18,12:05 PM,12:05 PM,FREE,BUSY
03/13/18,01:05 PM,01:05 PM,Rays at Phillies,Spectrum Field - Clearwater,"Local TV: MLBN",03/13/18,03/13/18,04:05 PM,04:05 PM,FALSE,TRUE,03/13/18,12:05 PM,12:05 PM,FREE,BUSY
03/14/18,01:05 PM,01:05 PM,Rays at Pirates,LECOM Park - Bradenton,"",03/14/18,03/14/18,04:05 PM,04:05 PM,FALSE,TRUE,03/14/18,12:05 PM,12:05 PM,FREE,BUSY
03/15/18,01:05 PM,01:05 PM,Twins at Rays,Charlotte Sports Park - Port Charlotte,"Local Radio: MLB.com",03/15/18,03/15/18,04:05 PM,04:05 PM,FALSE,TRUE,03/15/18,12:05 PM,12:05 PM,FREE,BUSY
03/16/18,01:05 PM,01:05 PM,Rays at Twins,CenturyLink Sports Complex - Fort Myers,"",03/16/18,03/16/18,04:05 PM,04:05 PM,FALSE,TRUE,03/16/18,12:05 PM,12:05 PM,FREE,BUSY
03/17/18,01:05 PM,01:05 PM,Rays at Red Sox,JetBlue Park - Ft. Myers,"Local Radio: WDAE 620 AM /95.3 FM- Rays Radio Network",03/17/18,03/17/18,04:05 PM,04:05 PM,FALSE,TRUE,03/17/18,12:05 PM,12:05 PM,FREE,BUSY
03/18/18,01:05 PM,01:05 PM,Tigers at Rays,Charlotte Sports Park - Port Charlotte,"Local Radio: WDAE 620 AM /95.3 FM- Rays Radio Network",03/18/18,03/18/18,04:05 PM,04:05 PM,FALSE,TRUE,03/18/18,12:05 PM,12:05 PM,FREE,BUSY
03/19/18,06:35 PM,06:35 PM,Rays at Yankees,George M. Steinbrenner Field - Tampa,"Local Radio: WDAE 620 AM /95.3 FM- Rays Radio Network",03/19/18,03/19/18,09:35 PM,09:35 PM,FALSE,TRUE,03/19/18,05:35 PM,05:35 PM,FREE,BUSY
