START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/22/18,01:05 PM,01:05 PM,Huskies at Red Sox,JetBlue Park - Ft. Myers,"Local TV: NESN- WFXT-25",02/22/18,02/22/18,04:05 PM,04:05 PM,FALSE,TRUE,02/22/18,12:05 PM,12:05 PM,FREE,BUSY
02/22/18,,,Eagles at Red Sox - Time TBD,JetBlue Park - Ft. Myers,"Local TV: NESN- WFXT-25",02/22/18,02/22/18,,,FALSE,TRUE,02/22/18,,,FREE,BUSY
02/23/18,01:05 PM,01:05 PM,Twins at Red Sox,JetBlue Park - Ft. Myers,"Local Radio: WEEI 850",02/23/18,02/23/18,04:05 PM,04:05 PM,FALSE,TRUE,02/23/18,12:05 PM,12:05 PM,FREE,BUSY
02/24/18,01:05 PM,01:05 PM,Rays at Red Sox,JetBlue Park - Ft. Myers,"Local TV: NESN- MLBN ----- Local Radio: WEEI 850",02/24/18,02/24/18,04:05 PM,04:05 PM,FALSE,TRUE,02/24/18,12:05 PM,12:05 PM,FREE,BUSY
02/25/18,01:05 PM,01:05 PM,Orioles at Red Sox,JetBlue Park - Ft. Myers,"Local TV: NESN ----- Local Radio: WEEI 93.7",02/25/18,02/25/18,04:05 PM,04:05 PM,FALSE,TRUE,02/25/18,12:05 PM,12:05 PM,FREE,BUSY
02/26/18,01:05 PM,01:05 PM,Red Sox at Pirates,LECOM Park - Bradenton,"Local Radio: WEEI 850",02/26/18,02/26/18,04:05 PM,04:05 PM,FALSE,TRUE,02/26/18,12:05 PM,12:05 PM,FREE,BUSY
02/27/18,01:05 PM,01:05 PM,Cardinals at Red Sox,JetBlue Park - Ft. Myers,"Local Radio: WEEI 850",02/27/18,02/27/18,04:05 PM,04:05 PM,FALSE,TRUE,02/27/18,12:05 PM,12:05 PM,FREE,BUSY
02/27/18,06:05 PM,06:05 PM,Red Sox at Twins,CenturyLink Sports Complex - Fort Myers,"Local TV: NESN+",02/27/18,02/27/18,09:05 PM,09:05 PM,FALSE,TRUE,02/27/18,05:05 PM,05:05 PM,FREE,BUSY
02/28/18,01:05 PM,01:05 PM,Pirates at Red Sox,JetBlue Park - Ft. Myers,"Local Radio: WEEI 850",02/28/18,02/28/18,04:05 PM,04:05 PM,FALSE,TRUE,02/28/18,12:05 PM,12:05 PM,FREE,BUSY
03/01/18,01:05 PM,01:05 PM,Red Sox at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"Local TV: NESN- WFXT-25 ----- Local Radio: WEEI 850",03/01/18,03/01/18,04:05 PM,04:05 PM,FALSE,TRUE,03/01/18,12:05 PM,12:05 PM,FREE,BUSY
03/02/18,01:05 PM,01:05 PM,Red Sox at Cardinals,Roger Dean Chevrolet Stadium - Jupiter,"Local TV: MLBN ----- Local Radio: WEEI 850",03/02/18,03/02/18,04:05 PM,04:05 PM,FALSE,TRUE,03/02/18,12:05 PM,12:05 PM,FREE,BUSY
03/03/18,01:05 PM,01:05 PM,Yankees at Red Sox,JetBlue Park - Ft. Myers,"Local TV: NESN- MLBN ----- Local Radio: WEEI 93.7",03/03/18,03/03/18,04:05 PM,04:05 PM,FALSE,TRUE,03/03/18,12:05 PM,12:05 PM,FREE,BUSY
03/04/18,01:05 PM,01:05 PM,Red Sox at Orioles,Ed Smith Stadium - Sarasota,"Local TV: NESN ----- Local Radio: WEEI 850",03/04/18,03/04/18,04:05 PM,04:05 PM,FALSE,TRUE,03/04/18,12:05 PM,12:05 PM,FREE,BUSY
03/06/18,01:05 PM,01:05 PM,Red Sox at Rays,Charlotte Sports Park - Port Charlotte,"Local Radio: WEEI 850",03/06/18,03/06/18,04:05 PM,04:05 PM,FALSE,TRUE,03/06/18,12:05 PM,12:05 PM,FREE,BUSY
03/07/18,01:05 PM,01:05 PM,Red Sox at Phillies,Spectrum Field - Clearwater,"Local TV: MLBN",03/07/18,03/07/18,04:05 PM,04:05 PM,FALSE,TRUE,03/07/18,12:05 PM,12:05 PM,FREE,BUSY
