START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/24/18,02:05 PM,03:05 PM,Dodgers at Royals,Surprise Stadium - Surprise,"Local Radio: MLB.com",02/24/18,02/24/18,05:05 PM,06:05 PM,FALSE,TRUE,02/24/18,01:05 PM,02:05 PM,FREE,BUSY
02/25/18,02:05 PM,03:05 PM,Royals at Athletics,Hohokam Stadium - Mesa,"Local Radio: KCSP 610",02/25/18,02/25/18,05:05 PM,06:05 PM,FALSE,TRUE,02/25/18,01:05 PM,02:05 PM,FREE,BUSY
02/26/18,02:05 PM,03:05 PM,Royals at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: KCSP 610",02/26/18,02/26/18,05:05 PM,06:05 PM,FALSE,TRUE,02/26/18,01:05 PM,02:05 PM,FREE,BUSY
02/27/18,02:05 PM,03:05 PM,Mariners at Royals,Surprise Stadium - Surprise,"Local Radio: MLB.com",02/27/18,02/27/18,05:05 PM,06:05 PM,FALSE,TRUE,02/27/18,01:05 PM,02:05 PM,FREE,BUSY
02/28/18,02:05 PM,03:05 PM,Reds at Royals,Surprise Stadium - Surprise,"Local Radio: KCSP 610",02/28/18,02/28/18,05:05 PM,06:05 PM,FALSE,TRUE,02/28/18,01:05 PM,02:05 PM,FREE,BUSY
03/01/18,02:10 PM,03:10 PM,Royals at Mariners,Peoria Stadium - Peoria,"Local Radio: MLB.com",03/01/18,03/01/18,05:10 PM,06:10 PM,FALSE,TRUE,03/01/18,01:10 PM,02:10 PM,FREE,BUSY
03/02/18,02:10 PM,03:10 PM,Royals at Padres,Peoria Stadium - Peoria,"Local TV: FSKC ----- Local Radio: KCSP 610",03/02/18,03/02/18,05:10 PM,06:10 PM,FALSE,TRUE,03/02/18,01:10 PM,02:10 PM,FREE,BUSY
03/03/18,02:05 PM,03:05 PM,White Sox at Royals,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/03/18,03/03/18,05:05 PM,06:05 PM,FALSE,TRUE,03/03/18,01:05 PM,02:05 PM,FREE,BUSY
03/04/18,02:05 PM,03:05 PM,Royals at Reds,Goodyear Ballpark - Goodyear,"Local Radio: KCSP 610",03/04/18,03/04/18,05:05 PM,06:05 PM,FALSE,TRUE,03/04/18,01:05 PM,02:05 PM,FREE,BUSY
03/06/18,07:05 PM,08:05 PM,Padres at Royals,Surprise Stadium - Surprise,"Local TV: FSKC ----- Local Radio: KCSP 610",03/06/18,03/06/18,10:05 PM,11:05 PM,FALSE,TRUE,03/06/18,06:05 PM,07:05 PM,FREE,BUSY
03/07/18,02:05 PM,03:05 PM,Brewers at Royals,Surprise Stadium - Surprise,"Local Radio: KCSP 610",03/07/18,03/07/18,05:05 PM,06:05 PM,FALSE,TRUE,03/07/18,01:05 PM,02:05 PM,FREE,BUSY
03/08/18,02:05 PM,03:05 PM,Royals at White Sox,Camelback Ranch - Glendale,"Local Radio: MLB.com",03/08/18,03/08/18,05:05 PM,06:05 PM,FALSE,TRUE,03/08/18,01:05 PM,02:05 PM,FREE,BUSY
03/09/18,02:05 PM,03:05 PM,D-backs at Royals,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/09/18,03/09/18,05:05 PM,06:05 PM,FALSE,TRUE,03/09/18,01:05 PM,02:05 PM,FREE,BUSY
03/09/18,02:05 PM,03:05 PM,Royals at Dodgers,Camelback Ranch - Glendale,"",03/09/18,03/09/18,05:05 PM,06:05 PM,FALSE,TRUE,03/09/18,01:05 PM,02:05 PM,FREE,BUSY
03/10/18,02:10 PM,03:10 PM,Royals at D-backs,Salt River Fields at Talking Stick - Scottsdale,"Local TV: FSKC ----- Local Radio: KCSP 610- MLB.com",03/10/18,03/10/18,05:10 PM,06:10 PM,FALSE,TRUE,03/10/18,01:10 PM,02:10 PM,FREE,BUSY
03/11/18,03:05 PM,04:05 PM,Indians at Royals,Surprise Stadium - Surprise,"Local TV: FSKC ----- Local Radio: KCSP 610",03/11/18,03/11/18,06:05 PM,07:05 PM,FALSE,TRUE,03/11/18,02:05 PM,03:05 PM,FREE,BUSY
03/12/18,08:05 PM,09:05 PM,Rangers at Royals,Surprise Stadium - Surprise,"Local TV: FSKC ----- Local Radio: KCSP 610",03/12/18,03/13/18,11:05 PM,12:05 AM,FALSE,TRUE,03/12/18,07:05 PM,08:05 PM,FREE,BUSY
03/12/18,02:05 PM,03:05 PM,Padres at Royals,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/12/18,03/12/18,05:05 PM,06:05 PM,FALSE,TRUE,03/12/18,01:05 PM,02:05 PM,FREE,BUSY
03/13/18,03:05 PM,04:05 PM,Athletics at Royals,Surprise Stadium - Surprise,"Local Radio: KCSP 610",03/13/18,03/13/18,06:05 PM,07:05 PM,FALSE,TRUE,03/13/18,02:05 PM,03:05 PM,FREE,BUSY
03/14/18,03:05 PM,04:05 PM,Cubs at Royals,Surprise Stadium - Surprise,"Local Radio: KCSP 610",03/14/18,03/14/18,06:05 PM,07:05 PM,FALSE,TRUE,03/14/18,02:05 PM,03:05 PM,FREE,BUSY
03/15/18,03:05 PM,04:05 PM,Royals at Dodgers,Camelback Ranch - Glendale,"Local TV: MLBN ----- Local Radio: MLB.com",03/15/18,03/15/18,06:05 PM,07:05 PM,FALSE,TRUE,03/15/18,02:05 PM,03:05 PM,FREE,BUSY
03/16/18,03:10 PM,04:10 PM,Royals at Padres,Peoria Stadium - Peoria,"Local Radio: MLB.com",03/16/18,03/16/18,06:10 PM,07:10 PM,FALSE,TRUE,03/16/18,02:10 PM,03:10 PM,FREE,BUSY
03/17/18,08:05 PM,09:05 PM,Royals at Rangers,Surprise Stadium - Surprise,"Local Radio: KCSP 610",03/17/18,03/18/18,11:05 PM,12:05 AM,FALSE,TRUE,03/17/18,07:05 PM,08:05 PM,FREE,BUSY
03/17/18,02:05 PM,03:05 PM,Rangers at Royals,Surprise Stadium - Surprise,"Local TV: FSKC ----- Local Radio: KCSP 610",03/17/18,03/17/18,05:05 PM,06:05 PM,FALSE,TRUE,03/17/18,01:05 PM,02:05 PM,FREE,BUSY
03/18/18,03:05 PM,04:05 PM,Royals at Cubs,Sloan Park - Mesa,"Local TV: FSKC ----- Local Radio: MLB.com",03/18/18,03/18/18,06:05 PM,07:05 PM,FALSE,TRUE,03/18/18,02:05 PM,03:05 PM,FREE,BUSY
03/20/18,08:05 PM,09:05 PM,Giants at Royals,Surprise Stadium - Surprise,"Local TV: FSKC ----- Local Radio: KCSP 610",03/20/18,03/21/18,11:05 PM,12:05 AM,FALSE,TRUE,03/20/18,07:05 PM,08:05 PM,FREE,BUSY
03/21/18,08:05 PM,09:05 PM,Royals at Indians,Goodyear Ballpark - Goodyear,"Local TV: FSKC ----- Local Radio: KCSP 610",03/21/18,03/22/18,11:05 PM,12:05 AM,FALSE,TRUE,03/21/18,07:05 PM,08:05 PM,FREE,BUSY
03/22/18,03:05 PM,04:05 PM,Royals at Brewers,Maryvale Baseball Park - Phoenix,"Local TV: FSKC- MLBN ----- Local Radio: MLB.com",03/22/18,03/22/18,06:05 PM,07:05 PM,FALSE,TRUE,03/22/18,02:05 PM,03:05 PM,FREE,BUSY
03/23/18,03:05 PM,04:05 PM,Dodgers at Royals,Surprise Stadium - Surprise,"Local Radio: KCSP 610",03/23/18,03/23/18,06:05 PM,07:05 PM,FALSE,TRUE,03/23/18,02:05 PM,03:05 PM,FREE,BUSY
03/23/18,03:05 PM,04:05 PM,Royals at Giants,Scottsdale Stadium - Scottsdale,"",03/23/18,03/23/18,06:05 PM,07:05 PM,FALSE,TRUE,03/23/18,02:05 PM,03:05 PM,FREE,BUSY
03/24/18,03:10 PM,04:10 PM,Royals at D-backs,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: MLB.com",03/24/18,03/24/18,06:10 PM,07:10 PM,FALSE,TRUE,03/24/18,02:10 PM,03:10 PM,FREE,BUSY
03/25/18,02:05 PM,03:05 PM,Cubs at Royals,Surprise Stadium - Surprise,"Local Radio: KCSP 610",03/25/18,03/25/18,05:05 PM,06:05 PM,FALSE,TRUE,03/25/18,01:05 PM,02:05 PM,FREE,BUSY
03/29/18,03:15 PM,04:15 PM,White Sox at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610- KYYS-1250 AM",03/29/18,03/29/18,06:15 PM,07:15 PM,FALSE,TRUE,03/29/18,02:15 PM,03:15 PM,FREE,BUSY
03/31/18,06:15 PM,07:15 PM,White Sox at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610",03/31/18,03/31/18,09:15 PM,10:15 PM,FALSE,TRUE,03/31/18,05:15 PM,06:15 PM,FREE,BUSY
04/02/18,12:10 PM,01:10 PM,Royals at Tigers,Comerica Park - Detroit,"Local TV: FSKC ----- Local Radio: KCSP 610",04/02/18,04/02/18,03:10 PM,04:10 PM,FALSE,TRUE,04/02/18,11:10 AM,12:10 PM,FREE,BUSY
04/03/18,12:10 PM,01:10 PM,Royals at Tigers,Comerica Park - Detroit,"Local TV: FSKC- MLBN (out-of-market only) ----- Local Radio: KCSP 610",04/03/18,04/03/18,03:10 PM,04:10 PM,FALSE,TRUE,04/03/18,11:10 AM,12:10 PM,FREE,BUSY
04/06/18,03:10 PM,04:10 PM,Royals at Indians,Progressive Field - Cleveland,"Local TV: FSKC- MLBN (out-of-market only) ----- Local Radio: KCSP 610",04/06/18,04/06/18,06:10 PM,07:10 PM,FALSE,TRUE,04/06/18,02:10 PM,03:10 PM,FREE,BUSY
04/07/18,03:10 PM,04:10 PM,Royals at Indians,Progressive Field - Cleveland,"Local TV: FSKC ----- Local Radio: KCSP 610",04/07/18,04/07/18,06:10 PM,07:10 PM,FALSE,TRUE,04/07/18,02:10 PM,03:10 PM,FREE,BUSY
04/08/18,12:10 PM,01:10 PM,Royals at Indians,Progressive Field - Cleveland,"Local TV: FSKC ----- Local Radio: KCSP 610",04/08/18,04/08/18,03:10 PM,04:10 PM,FALSE,TRUE,04/08/18,11:10 AM,12:10 PM,FREE,BUSY
04/09/18,07:15 PM,08:15 PM,Mariners at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610",04/09/18,04/09/18,10:15 PM,11:15 PM,FALSE,TRUE,04/09/18,06:15 PM,07:15 PM,FREE,BUSY
04/10/18,07:15 PM,08:15 PM,Mariners at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610",04/10/18,04/10/18,10:15 PM,11:15 PM,FALSE,TRUE,04/10/18,06:15 PM,07:15 PM,FREE,BUSY
04/11/18,01:15 PM,02:15 PM,Mariners at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610- KYYS-1250 AM",04/11/18,04/11/18,04:15 PM,05:15 PM,FALSE,TRUE,04/11/18,12:15 PM,01:15 PM,FREE,BUSY
04/12/18,07:15 PM,08:15 PM,Angels at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610",04/12/18,04/12/18,10:15 PM,11:15 PM,FALSE,TRUE,04/12/18,06:15 PM,07:15 PM,FREE,BUSY
04/13/18,07:15 PM,08:15 PM,Angels at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610",04/13/18,04/13/18,10:15 PM,11:15 PM,FALSE,TRUE,04/13/18,06:15 PM,07:15 PM,FREE,BUSY
04/14/18,06:15 PM,07:15 PM,Angels at Royals,Kauffman Stadium - Kansas City,"Local TV: FS1 ----- Local Radio: KCSP 610",04/14/18,04/14/18,09:15 PM,10:15 PM,FALSE,TRUE,04/14/18,05:15 PM,06:15 PM,FREE,BUSY
04/17/18,02:07 PM,03:07 PM,Royals at Blue Jays,Rogers Centre - Toronto,"Local TV: FSKC ----- Local Radio: KCSP 610",04/17/18,04/17/18,05:07 PM,06:07 PM,FALSE,TRUE,04/17/18,01:07 PM,02:07 PM,FREE,BUSY
04/17/18,,,Royals at Blue Jays - Time TBD,Rogers Centre - Toronto,"Local TV: FSKC ----- Local Radio: KCSP 610",04/17/18,04/17/18,,,FALSE,TRUE,04/17/18,,,FREE,BUSY
04/18/18,03:07 PM,04:07 PM,Royals at Blue Jays,Rogers Centre - Toronto,"Local TV: FB-WATCH ----- Local Radio: KCSP 610",04/18/18,04/18/18,06:07 PM,07:07 PM,FALSE,TRUE,04/18/18,02:07 PM,03:07 PM,FREE,BUSY
04/20/18,12:10 PM,01:10 PM,Royals at Tigers,Comerica Park - Detroit,"Local TV: FSKC- MLBN (out-of-market only) ----- Local Radio: KCSP 610",04/20/18,04/20/18,03:10 PM,04:10 PM,FALSE,TRUE,04/20/18,11:10 AM,12:10 PM,FREE,BUSY
04/20/18,06:10 PM,07:10 PM,Royals at Tigers,Comerica Park - Detroit,"Local TV: FSKC ----- Local Radio: KCSP 610",04/20/18,04/20/18,09:10 PM,10:10 PM,FALSE,TRUE,04/20/18,05:10 PM,06:10 PM,FREE,BUSY
04/21/18,12:10 PM,01:10 PM,Royals at Tigers,Comerica Park - Detroit,"Local TV: FSKC- MLBN (out-of-market only) ----- Local Radio: KCSP 610",04/21/18,04/21/18,03:10 PM,04:10 PM,FALSE,TRUE,04/21/18,11:10 AM,12:10 PM,FREE,BUSY
04/22/18,12:10 PM,01:10 PM,Royals at Tigers,Comerica Park - Detroit,"Local TV: FSKC ----- Local Radio: KCSP 610",04/22/18,04/22/18,03:10 PM,04:10 PM,FALSE,TRUE,04/22/18,11:10 AM,12:10 PM,FREE,BUSY
04/24/18,07:15 PM,08:15 PM,Brewers at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610",04/24/18,04/24/18,10:15 PM,11:15 PM,FALSE,TRUE,04/24/18,06:15 PM,07:15 PM,FREE,BUSY
04/25/18,07:15 PM,08:15 PM,Brewers at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610",04/25/18,04/25/18,10:15 PM,11:15 PM,FALSE,TRUE,04/25/18,06:15 PM,07:15 PM,FREE,BUSY
04/26/18,07:15 PM,08:15 PM,White Sox at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610",04/26/18,04/26/18,10:15 PM,11:15 PM,FALSE,TRUE,04/26/18,06:15 PM,07:15 PM,FREE,BUSY
04/27/18,07:15 PM,08:15 PM,White Sox at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610",04/27/18,04/27/18,10:15 PM,11:15 PM,FALSE,TRUE,04/27/18,06:15 PM,07:15 PM,FREE,BUSY
04/28/18,01:15 PM,02:15 PM,White Sox at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610- KYYS-1250 AM",04/28/18,04/28/18,04:15 PM,05:15 PM,FALSE,TRUE,04/28/18,12:15 PM,01:15 PM,FREE,BUSY
04/28/18,07:15 PM,08:15 PM,White Sox at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610",04/28/18,04/28/18,10:15 PM,11:15 PM,FALSE,TRUE,04/28/18,06:15 PM,07:15 PM,FREE,BUSY
04/29/18,01:15 PM,02:15 PM,White Sox at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610- KYYS-1250 AM",04/29/18,04/29/18,04:15 PM,05:15 PM,FALSE,TRUE,04/29/18,12:15 PM,01:15 PM,FREE,BUSY
04/30/18,06:10 PM,07:10 PM,Royals at Red Sox,Fenway Park - Boston,"Local TV: FSKC ----- Local Radio: KCSP 610",04/30/18,04/30/18,09:10 PM,10:10 PM,FALSE,TRUE,04/30/18,05:10 PM,06:10 PM,FREE,BUSY
05/01/18,06:10 PM,07:10 PM,Royals at Red Sox,Fenway Park - Boston,"Local TV: FSKC ----- Local Radio: KCSP 610",05/01/18,05/01/18,09:10 PM,10:10 PM,FALSE,TRUE,05/01/18,05:10 PM,06:10 PM,FREE,BUSY
05/02/18,12:05 PM,01:05 PM,Royals at Red Sox,Fenway Park - Boston,"Local TV: FSKC ----- Local Radio: KCSP 610",05/02/18,05/02/18,03:05 PM,04:05 PM,FALSE,TRUE,05/02/18,11:05 AM,12:05 PM,FREE,BUSY
05/03/18,01:15 PM,02:15 PM,Tigers at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610",05/03/18,05/03/18,04:15 PM,05:15 PM,FALSE,TRUE,05/03/18,12:15 PM,01:15 PM,FREE,BUSY
05/04/18,07:15 PM,08:15 PM,Tigers at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610",05/04/18,05/04/18,10:15 PM,11:15 PM,FALSE,TRUE,05/04/18,06:15 PM,07:15 PM,FREE,BUSY
05/05/18,03:15 PM,04:15 PM,Tigers at Royals,Kauffman Stadium - Kansas City,"Local TV: FS1 ----- Local Radio: KCSP 610",05/05/18,05/05/18,06:15 PM,07:15 PM,FALSE,TRUE,05/05/18,02:15 PM,03:15 PM,FREE,BUSY
05/06/18,01:15 PM,02:15 PM,Tigers at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610- KYYS-1250 AM",05/06/18,05/06/18,04:15 PM,05:15 PM,FALSE,TRUE,05/06/18,12:15 PM,01:15 PM,FREE,BUSY
05/08/18,06:05 PM,07:05 PM,Royals at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: FSKC- MLBN (out-of-market only) ----- Local Radio: KCSP 610",05/08/18,05/08/18,09:05 PM,10:05 PM,FALSE,TRUE,05/08/18,05:05 PM,06:05 PM,FREE,BUSY
05/09/18,06:05 PM,07:05 PM,Royals at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: FSKC ----- Local Radio: KCSP 610",05/09/18,05/09/18,09:05 PM,10:05 PM,FALSE,TRUE,05/09/18,05:05 PM,06:05 PM,FREE,BUSY
05/10/18,06:05 PM,07:05 PM,Royals at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: FSKC- MLBN (out-of-market only) ----- Local Radio: KCSP 610",05/10/18,05/10/18,09:05 PM,10:05 PM,FALSE,TRUE,05/10/18,05:05 PM,06:05 PM,FREE,BUSY
05/11/18,06:10 PM,07:10 PM,Royals at Indians,Progressive Field - Cleveland,"Local TV: FSKC ----- Local Radio: KCSP 610",05/11/18,05/11/18,09:10 PM,10:10 PM,FALSE,TRUE,05/11/18,05:10 PM,06:10 PM,FREE,BUSY
05/12/18,03:10 PM,04:10 PM,Royals at Indians,Progressive Field - Cleveland,"Local TV: FSKC ----- Local Radio: KCSP 610",05/12/18,05/12/18,06:10 PM,07:10 PM,FALSE,TRUE,05/12/18,02:10 PM,03:10 PM,FREE,BUSY
05/13/18,12:10 PM,01:10 PM,Royals at Indians,Progressive Field - Cleveland,"Local TV: FSKC ----- Local Radio: KCSP 610",05/13/18,05/13/18,03:10 PM,04:10 PM,FALSE,TRUE,05/13/18,11:10 AM,12:10 PM,FREE,BUSY
05/14/18,06:05 PM,07:05 PM,Rays at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC- ESPN ----- Local Radio: KCSP 610",05/14/18,05/14/18,09:05 PM,10:05 PM,FALSE,TRUE,05/14/18,05:05 PM,06:05 PM,FREE,BUSY
05/15/18,07:15 PM,08:15 PM,Rays at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610",05/15/18,05/15/18,10:15 PM,11:15 PM,FALSE,TRUE,05/15/18,06:15 PM,07:15 PM,FREE,BUSY
05/16/18,01:15 PM,02:15 PM,Rays at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610- KYYS-1250 AM",05/16/18,05/16/18,04:15 PM,05:15 PM,FALSE,TRUE,05/16/18,12:15 PM,01:15 PM,FREE,BUSY
05/18/18,07:15 PM,08:15 PM,Yankees at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610",05/18/18,05/18/18,10:15 PM,11:15 PM,FALSE,TRUE,05/18/18,06:15 PM,07:15 PM,FREE,BUSY
05/19/18,06:15 PM,07:15 PM,Yankees at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC- MLBN (out-of-market only) ----- Local Radio: KCSP 610",05/19/18,05/19/18,09:15 PM,10:15 PM,FALSE,TRUE,05/19/18,05:15 PM,06:15 PM,FREE,BUSY
05/20/18,01:15 PM,02:15 PM,Yankees at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610- KYYS-1250 AM",05/20/18,05/20/18,04:15 PM,05:15 PM,FALSE,TRUE,05/20/18,12:15 PM,01:15 PM,FREE,BUSY
05/21/18,07:15 PM,08:15 PM,Royals at Cardinals,Busch Stadium - St. Louis,"Local TV: FSKC- MLBN (out-of-market only) ----- Local Radio: KCSP 610",05/21/18,05/21/18,10:15 PM,11:15 PM,FALSE,TRUE,05/21/18,06:15 PM,07:15 PM,FREE,BUSY
05/22/18,07:15 PM,08:15 PM,Royals at Cardinals,Busch Stadium - St. Louis,"Local TV: FSKC ----- Local Radio: KCSP 610",05/22/18,05/22/18,10:15 PM,11:15 PM,FALSE,TRUE,05/22/18,06:15 PM,07:15 PM,FREE,BUSY
05/23/18,12:15 PM,01:15 PM,Royals at Cardinals,Busch Stadium - St. Louis,"Local TV: FSKC- MLBN (out-of-market only) ----- Local Radio: KCSP 610",05/23/18,05/23/18,03:15 PM,04:15 PM,FALSE,TRUE,05/23/18,11:15 AM,12:15 PM,FREE,BUSY
05/24/18,07:05 PM,08:05 PM,Royals at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSKC ----- Local Radio: KCSP 610",05/24/18,05/24/18,10:05 PM,11:05 PM,FALSE,TRUE,05/24/18,06:05 PM,07:05 PM,FREE,BUSY
05/25/18,07:05 PM,08:05 PM,Royals at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSKC ----- Local Radio: KCSP 610",05/25/18,05/25/18,10:05 PM,11:05 PM,FALSE,TRUE,05/25/18,06:05 PM,07:05 PM,FREE,BUSY
05/26/18,03:05 PM,04:05 PM,Royals at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FS1 ----- Local Radio: KCSP 610",05/26/18,05/26/18,06:05 PM,07:05 PM,FALSE,TRUE,05/26/18,02:05 PM,03:05 PM,FREE,BUSY
05/27/18,02:05 PM,03:05 PM,Royals at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSKC ----- Local Radio: KCSP 610",05/27/18,05/27/18,05:05 PM,06:05 PM,FALSE,TRUE,05/27/18,01:05 PM,02:05 PM,FREE,BUSY
05/28/18,06:15 PM,07:15 PM,Twins at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610",05/28/18,05/28/18,09:15 PM,10:15 PM,FALSE,TRUE,05/28/18,05:15 PM,06:15 PM,FREE,BUSY
05/29/18,07:15 PM,08:15 PM,Twins at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610",05/29/18,05/29/18,10:15 PM,11:15 PM,FALSE,TRUE,05/29/18,06:15 PM,07:15 PM,FREE,BUSY
05/30/18,07:15 PM,08:15 PM,Twins at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610",05/30/18,05/30/18,10:15 PM,11:15 PM,FALSE,TRUE,05/30/18,06:15 PM,07:15 PM,FREE,BUSY
06/01/18,07:15 PM,08:15 PM,Athletics at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610",06/01/18,06/01/18,10:15 PM,11:15 PM,FALSE,TRUE,06/01/18,06:15 PM,07:15 PM,FREE,BUSY
06/02/18,01:15 PM,02:15 PM,Athletics at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610- KYYS-1250 AM",06/02/18,06/02/18,04:15 PM,05:15 PM,FALSE,TRUE,06/02/18,12:15 PM,01:15 PM,FREE,BUSY
06/03/18,01:15 PM,02:15 PM,Athletics at Royals,Kauffman Stadium - Kansas City,"Local TV: FSKC ----- Local Radio: KCSP 610- KYYS-1250 AM",06/03/18,06/03/18,04:15 PM,05:15 PM,FALSE,TRUE,06/03/18,12:15 PM,01:15 PM,FREE,BUSY
06/04/18,09:07 PM,10:07 PM,Royals at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FSKC ----- Local Radio: KCSP 610",06/05/18,06/05/18,12:07 AM,01:07 AM,FALSE,TRUE,06/04/18,08:07 PM,09:07 PM,FREE,BUSY
