START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/22/18,01:05 PM,01:05 PM,Mocs at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"",02/22/18,02/22/18,04:05 PM,04:05 PM,FALSE,TRUE,02/22/18,12:05 PM,12:05 PM,FREE,BUSY
02/23/18,01:05 PM,01:05 PM,Tigers at Yankees,George M. Steinbrenner Field - Tampa,"Local Radio: 97.1 The Ticket",02/23/18,02/23/18,04:05 PM,04:05 PM,FALSE,TRUE,02/23/18,12:05 PM,12:05 PM,FREE,BUSY
02/24/18,01:05 PM,01:05 PM,Blue Jays at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"Local Radio: 97.1 The Ticket",02/24/18,02/24/18,04:05 PM,04:05 PM,FALSE,TRUE,02/24/18,12:05 PM,12:05 PM,FREE,BUSY
02/25/18,01:07 PM,01:07 PM,Tigers at Blue Jays,Dunedin Stadium - Dunedin,"",02/25/18,02/25/18,04:07 PM,04:07 PM,FALSE,TRUE,02/25/18,12:07 PM,12:07 PM,FREE,BUSY
02/25/18,01:05 PM,01:05 PM,Pirates at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"Local Radio: WXYT 1270",02/25/18,02/25/18,04:05 PM,04:05 PM,FALSE,TRUE,02/25/18,12:05 PM,12:05 PM,FREE,BUSY
02/26/18,01:05 PM,01:05 PM,Tigers at Orioles,Ed Smith Stadium - Sarasota,"",02/26/18,02/26/18,04:05 PM,04:05 PM,FALSE,TRUE,02/26/18,12:05 PM,12:05 PM,FREE,BUSY
02/27/18,01:05 PM,01:05 PM,Tigers at Phillies,Spectrum Field - Clearwater,"Local TV: MLBN",02/27/18,02/27/18,04:05 PM,04:05 PM,FALSE,TRUE,02/27/18,12:05 PM,12:05 PM,FREE,BUSY
02/28/18,01:05 PM,01:05 PM,Tigers at Yankees,George M. Steinbrenner Field - Tampa,"Local TV: FS-D",02/28/18,02/28/18,04:05 PM,04:05 PM,FALSE,TRUE,02/28/18,12:05 PM,12:05 PM,FREE,BUSY
03/01/18,01:05 PM,01:05 PM,Braves at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"Local Radio: WXYT 1270",03/01/18,03/01/18,04:05 PM,04:05 PM,FALSE,TRUE,03/01/18,12:05 PM,12:05 PM,FREE,BUSY
03/02/18,01:05 PM,01:05 PM,Marlins at Tigers,Publix Field at Joker Marchant Stadium - Lakeland,"Local Radio: WXYT 1270",03/02/18,03/02/18,04:05 PM,04:05 PM,FALSE,TRUE,03/02/18,12:05 PM,12:05 PM,FREE,BUSY
