START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/22/18,05:05 PM,06:05 PM,Gophers at Twins,CenturyLink Sports Complex - Fort Myers,"Local TV: FSNO+ ----- Local Radio: WCCO 830- TIBN- MLB.com",02/22/18,02/22/18,08:05 PM,09:05 PM,FALSE,TRUE,02/22/18,04:05 PM,05:05 PM,FREE,BUSY
02/23/18,12:05 PM,01:05 PM,Twins at Red Sox,JetBlue Park - Ft. Myers,"Local Radio: TIBN- MLB.com",02/23/18,02/23/18,03:05 PM,04:05 PM,FALSE,TRUE,02/23/18,11:05 AM,12:05 PM,FREE,BUSY
02/24/18,05:05 PM,06:05 PM,Twins at Orioles,Ed Smith Stadium - Sarasota,"Local Radio: TIBN- MLB.com",02/24/18,02/24/18,08:05 PM,09:05 PM,FALSE,TRUE,02/24/18,04:05 PM,05:05 PM,FREE,BUSY
02/25/18,12:05 PM,01:05 PM,Rays at Twins,CenturyLink Sports Complex - Fort Myers,"Local TV: FSNO ----- Local Radio: WCCO 830- TIBN- MLB.com",02/25/18,02/25/18,03:05 PM,04:05 PM,FALSE,TRUE,02/25/18,11:05 AM,12:05 PM,FREE,BUSY
02/26/18,12:05 PM,01:05 PM,Cardinals at Twins,CenturyLink Sports Complex - Fort Myers,"Local Radio: TIBN- MLB.com",02/26/18,02/26/18,03:05 PM,04:05 PM,FALSE,TRUE,02/26/18,11:05 AM,12:05 PM,FREE,BUSY
02/27/18,05:05 PM,06:05 PM,Red Sox at Twins,CenturyLink Sports Complex - Fort Myers,"Local TV: FSNO ----- Local Radio: WCCO 830- TIBN- MLB.com",02/27/18,02/27/18,08:05 PM,09:05 PM,FALSE,TRUE,02/27/18,04:05 PM,05:05 PM,FREE,BUSY
02/28/18,12:05 PM,01:05 PM,Twins at Astros,FITTEAM Ballpark of the Palm Beaches - West Palm Beach,"",02/28/18,02/28/18,03:05 PM,04:05 PM,FALSE,TRUE,02/28/18,11:05 AM,12:05 PM,FREE,BUSY
02/28/18,12:05 PM,01:05 PM,Rays at Twins,CenturyLink Sports Complex - Fort Myers,"Local Radio: TIBN- MLB.com",02/28/18,02/28/18,03:05 PM,04:05 PM,FALSE,TRUE,02/28/18,11:05 AM,12:05 PM,FREE,BUSY
03/01/18,12:05 PM,01:05 PM,Twins at Cardinals,Roger Dean Chevrolet Stadium - Jupiter,"Local TV: FSNO",03/01/18,03/01/18,03:05 PM,04:05 PM,FALSE,TRUE,03/01/18,11:05 AM,12:05 PM,FREE,BUSY
03/02/18,12:05 PM,01:05 PM,Blue Jays at Twins,CenturyLink Sports Complex - Fort Myers,"Local Radio: WCCO 830- TIBN- MLB.com",03/02/18,03/02/18,03:05 PM,04:05 PM,FALSE,TRUE,03/02/18,11:05 AM,12:05 PM,FREE,BUSY
